Referenz,Zielwort,Dist1,Dist2,Dist3
schreiben,tippen,ruehren,saeen,seilspringen
backen2,glasieren,schreiben,haemmern,klettern
waschen1,buegeln,aufschliessen,bohren,giessen1
kuessen,tanzen1,pusten,streiten,rennen1
schwimmen,segeln,schaukeln,regnen,naehen
rasieren,kaemmen,lecken1,niesen,ausrutschen
lesen,schreiben,knuepfen,loeten,beissen
fallen,ausrutschen,grasendekuh,skifahren,eingiessen
malen,zeichnen,ruehren,loeten,bauen
verschicken,briefschreiben,waschen1,zeichnen,trinken1
bohren,bauen,schneiden1,besichtigen,wuetend
singen,tanzen3,lachen,streiten,fuettern
pflanzen,saeen,schlafen1,haemmern,stabhochspringen
klingeln,klopfen,melden,verschicken,skifahren
laecheln,lachen,wuetend,weinen,rasenmaehen
bruellen,bellen,hecheln,beissen,fliegen2
aufschliessen,oeffnen,addieren,waschen1,reiten
saegen,schneiden1,klatschen,schaelen,schaukeln
harken,graben,stabhochspringen,angeln,fahren1
fegen,waschen1,stabhochspringen,oeffnen,besichtigen
schauen,lesen,streicheln,zerreissen1,schieben
gruessen,winken,halten2,melden,besichtigen
instrumentspielen,klatschen,streicheln,gruessen,schneien
niesen,husten,kaemmen,pusten,springen1
rasenmaehen,giessen2,beissen,eingiessen,tanzen2
springen1,seilspringen,klettern,stehen,graben
essen,lecken2,klatschen,niesen,verschicken
schubkarre,schieben,abwaschen,werfen,laecheln
